,State,Status,Name,NameLink,Party,Twitter,TwitterLink,Instagram,InstagramLink,Facebook,FacebookLink
40,Oklahoma,U.S. Senator,"Inhofe, Jim",https://www.inhofe.senate.gov/about/biography,R,@InhofePress,https://twitter.com/InhofePress?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@jiminhofe,https://www.instagram.com/jiminhofe/?hl=en,x,https://www.facebook.com/jiminhofe
41,Wisconsin,U.S. Senator,"Johnson, Ron",https://www.ronjohnson.senate.gov/public/,R,@SenRonJohnson,https://twitter.com/SenRonJohnson?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@senronjohnson,https://www.instagram.com/senronjohnson/?hl=en,x,https://www.facebook.com/senronjohnson
42,Virginia,U.S. Senator,"Kaine, Tim",https://www.kaine.senate.gov/,D,@timkaine,https://twitter.com/timkaine?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@timkaine,https://www.instagram.com/timkaine/?hl=en,x,https://www.facebook.com/SenatorKaine
43,Arizona,U.S. Senator,"Kelly, Mark",https://www.kelly.senate.gov/,D,@SenMarkKelly,https://twitter.com/SenMarkKelly?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,senmarkkelly,https://www.instagram.com/senmarkkelly/?hl=en,,
44,Louisiana,U.S. Senator,"Kennedy, John",https://www.kennedy.senate.gov/public/,R,@JohnKennedyLA,https://twitter.com/johnkennedyla?lang=en,@senjohnkennedy,https://www.instagram.com/senjohnkennedy/?hl=en,x,https://www.facebook.com/JohnKennedyLouisiana
45,Maine,U.S. Senator,Angus King,https://www.king.senate.gov/,I,@SenAngusKing,https://twitter.com/senangusking?lang=en,@anguskingmaine,https://www.instagram.com/anguskingmaine/?hl=en,x,https://www.facebook.com/SenatorAngusSKingJr
46,Minnesota,U.S. Senator,"Klobuchar, Amy",https://www.klobuchar.senate.gov/public/,D,@amyklobuchar,https://twitter.com/amyklobuchar?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@amyklobuchar,https://www.instagram.com/amyklobuchar/?hl=en,x,https://www.facebook.com/amyklobuchar
47,Oklahoma,U.S. Senator,"Lankford, James",https://www.lankford.senate.gov/,R,@SenatorLankford,https://twitter.com/SenatorLankford?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@senatorlankford,https://www.instagram.com/senatorlankford/?hl=en,x,https://www.facebook.com/SenatorLankford
48,Vermont,U.S. Senator,"Leahy, Patrick",https://www.leahy.senate.gov/,D,@SenatorLeahy,https://twitter.com/SenatorLeahy?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@senatorleahy,https://www.instagram.com/senatorleahy/?hl=en,x,https://www.facebook.com/SenatorPatrickLeahy
49,Utah,U.S. Senator,"Lee, Mike",https://www.lee.senate.gov/public/,R,@SenMikeLee,https://twitter.com/SenMikeLee?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@senmikelee,https://www.instagram.com/senmikelee/?hl=en,x,https://www.facebook.com/senatormikelee
50,New Mexico,U.S. Senator,"Luján, Ben Ray",https://www.lujan.senate.gov/,D,@SenatorLujan,https://twitter.com/SenatorLujan?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,,,x,https://www.facebook.com/BenRayLujan/
51,Wyoming,U.S. Senator,"Lummis, Cynthia",https://www.lummis.senate.gov/,R,@SenLummis,https://twitter.com/SenLummis,@sencynthialummis,https://www.instagram.com/sencynthialummis/?hl=en,x,https://www.facebook.com/sencynthialummis/
52,West Virginia,U.S. Senator,"Manchin, Joe",https://www.manchin.senate.gov/,D,@Sen_JoeManchin,https://twitter.com/Sen_JoeManchin?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@joemanchin,https://www.instagram.com/joemanchin/?hl=en,x,https://www.facebook.com/JoeManchinIII
53,Massachusetts,U.S. Senator,"Markey, Edward",https://www.markey.senate.gov/,D,@SenMarkey,https://twitter.com/SenMarkey?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@edmarkey,https://www.instagram.com/edmarkey/?hl=en,x,https://www.facebook.com/EdJMarkey
54,Kansas,U.S. Senator,"Marshall, Roger",https://www.marshall.senate.gov/,R,@RogerMarshallMD,https://twitter.com/RogerMarshallMD?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@rogermarshallmd,https://www.instagram.com/rogermarshallmd/?hl=en,x,https://www.facebook.com/RogerMarshallMD/
55,Kentucky,U.S. Senator,"McConnell, Mitch",https://www.mcconnell.senate.gov/public/,R,@McConnellPress,https://twitter.com/McConnellPress?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@mcconnellpress,https://www.instagram.com/mcconnellpress/?hl=en,x,https://www.facebook.com/mitchmcconnell
56,New Jersey,U.S. Senator,"Menendez, Robert",https://www.menendez.senate.gov/,D,@SenatorMenendez,https://twitter.com/SenatorMenendez?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@senatormenendez,https://www.instagram.com/senatormenendez/?hl=en,x,https://www.facebook.com/senatormenendez/
57,Oregon,U.S. Senator,"Merkley, Jeff",https://www.merkley.senate.gov/,D,@SenJeffMerkley,https://twitter.com/SenJeffMerkley?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@senjeffmerkley,https://www.instagram.com/senjeffmerkley/?hl=en,x,https://www.facebook.com/jeffmerkley
58,Kansas,U.S. Senator,"Moran, Jerry",https://www.moran.senate.gov/public/,R,@JerryMoran,https://twitter.com/JerryMoran?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,,,x,https://www.facebook.com/jerrymoran
59,Alaska,U.S. Senator,"Murkowski, Lisa",https://www.murkowski.senate.gov/,R,@lisamurkowski,https://twitter.com/lisamurkowski?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@senlisamurkowski,https://www.instagram.com/senlisamurkowski/?hl=en,x,https://www.facebook.com/SenLisaMurkowski
60,Connecticut,U.S. Senator,"Murphy, Chris",https://www.murphy.senate.gov/,D,@ChrisMurphyCT,https://twitter.com/ChrisMurphyCT?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@chrismurphyct,https://www.instagram.com/chrismurphyct/?hl=en,x,https://www.facebook.com/ChrisMurphyCT
61,Washington,U.S. Senator,"Murray, Patty",https://www.murray.senate.gov/public/,D,@PattyMurray,https://twitter.com/PattyMurray?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@senpattymurray,https://www.instagram.com/senpattymurray/?hl=en,x,https://www.facebook.com/pattymurray
62,Georgia,U.S. Senator,"Ossoff, Jon",,D,@ossoff,https://twitter.com/ossoff?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@jonossoff,https://www.instagram.com/jonossoff/,x,https://www.facebook.com/jonossoff/
63,California,U.S. Senator,"Padilla, Alex",https://www.padilla.senate.gov/,D,@SenAlexPadilla,https://twitter.com/senalexpadilla,@alexpadilla4ca,https://www.instagram.com/alexpadilla4ca/?hl=en,x,https://www.facebook.com/SenAlexPadilla/
64,Kentucky,U.S. Senator,"Paul, Rand",https://www.paul.senate.gov/,R,@RandPaul,https://twitter.com/RandPaul?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@drrandpaul,https://www.instagram.com/drrandpaul/?hl=en,x,https://www.facebook.com/SenatorRandPaul
65,Michigan,U.S. Senator,"Peters, Gary",https://www.peters.senate.gov/,D,@SenGaryPeters,https://twitter.com/SenGaryPeters?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@sengarypeters,https://www.instagram.com/sengarypeters/?hl=en,x,https://www.facebook.com/SenGaryPeters
66,Ohio,U.S. Senator,"Portman, Rob",https://www.portman.senate.gov/,R,@senrobportman,https://twitter.com/senrobportman?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@senrobportman,https://www.instagram.com/senrobportman/?hl=en,x,https://www.facebook.com/robportman
67,Rhode Island,U.S. Senator,"Reed, Jack",https://www.reed.senate.gov/,D,@SenJackReed,https://twitter.com/SenJackReed,,,x,https://www.facebook.com/SenJackReed
68,Idaho,U.S. Senator,"Risch, Jim",https://www.risch.senate.gov/public/,R,@SenatorRisch,https://twitter.com/SenatorRisch,,,x,https://www.facebook.com/SenatorJimRisch/
69,Utah,U.S. Senator,"Romney, Mitt",https://www.romney.senate.gov/,R,@SenatorRomney,https://twitter.com/SenatorRomney?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@mittromney,https://www.instagram.com/mittromney/?hl=en,x,https://www.facebook.com/senatorromney/
70,Nevada,U.S. Senator,"Rosen, Jacky",https://www.rosen.senate.gov/,D,@SenJackyRosen,https://twitter.com/SenJackyRosen?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@senjackyrosen,https://www.instagram.com/senjackyrosen/?hl=en,x,https://www.facebook.com/SenJackyRosen/
71,South Dakota,U.S. Senator,"Rounds, Mike",https://www.rounds.senate.gov/,R,@SenatorRounds,https://twitter.com/SenatorRounds?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,,,x,https://www.facebook.com/SenatorMikeRounds
72,Florida,U.S. Senator,"Rubio, Marco",https://www.rubio.senate.gov/public/,R,@marcorubio,https://twitter.com/marcorubio?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@marcorubiofla,https://www.instagram.com/marcorubiofla/?hl=en,x,https://www.facebook.com/MarcoRubio
73,Vermont,U.S. Senator,"Sanders, Bernie",https://berniesanders.com/,I,@SenSanders,https://twitter.com/SenSanders?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@berniesanders,https://www.instagram.com/berniesanders/?hl=en,x,https://www.facebook.com/senatorsanders
74,Nebraska,U.S. Senator,"Sasse, Ben",https://www.sasse.senate.gov/public/,R,@SenSasse,https://twitter.com/sensasse?lang=en,@senatorsasse,https://www.instagram.com/senatorsasse/?hl=en,x,https://www.facebook.com/SenatorSasse
75,Hawaii,U.S. Senator,"Schatz, Brian",https://www.schatz.senate.gov/,D,@SenBrianSchatz,https://twitter.com/senbrianschatz?lang=en,@senbrianschatz,https://www.instagram.com/senbrianschatz/?hl=en,x,https://www.facebook.com/BrianSchatz
76,New York,U.S. Senator,"Schumer, Chuck",https://www.schumer.senate.gov/,D,@SenSchumer,https://twitter.com/SenSchumer?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@chuckschumer,https://www.instagram.com/chuckschumer/?hl=en,x,https://www.facebook.com/senschumer/
77,Florida,U.S. Senator,"Scott, Rick",https://www.rickscott.senate.gov/,R,@ScottforFlorida,https://twitter.com/ScottforFlorida?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@scottforflorida,https://www.instagram.com/scottforflorida/?hl=en,x,https://www.facebook.com/RickScottSenOffice/
78,South Carolina,U.S. Senator,"Scott, Tim",https://www.scott.senate.gov/,R,@SenatorTimScott,https://twitter.com/SenatorTimScott?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@senatortimscott,https://www.instagram.com/senatortimscott/?hl=en,x,https://www.facebook.com/SenatorTimScott
79,New Hampshire,U.S. Senator,"Shaheen, Jeanne",https://www.shaheen.senate.gov/,D,@SenatorShaheen,https://twitter.com/SenatorShaheen?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@senatorshaheen,https://www.instagram.com/senatorshaheen/?hl=en,x,https://www.facebook.com/SenatorShaheen
80,Alabama,U.S. Senator,"Shelby, Richard",https://www.shelby.senate.gov/public/,R,@SenShelby,https://twitter.com/SenShelby?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,@senatorshelby,https://www.instagram.com/senatorshelby/,x,https://www.facebook.com/RichardShelby
