SenatorCardin,SenatorBaldwin
SenatorBaldwin,SenatorCarper
SenatorCarper,SenatorBaldwin
SenatorBaldwin,SenBobCasey
SenBobCasey,SenatorBaldwin
BillCassidy,SenatorBaldwin
SenatorBaldwin,SenatorCollins
SenatorCollins,SenatorBaldwin
SenatorBaldwin,SenCoonsOffice
SenCoonsOffice,SenatorBaldwin
SenatorBaldwin,JohnCornyn
JohnCornyn,SenatorBaldwin
SenTomCotton,SenatorBaldwin
SenatorBaldwin,MikeCrapo
MikeCrapo,SenatorBaldwin
SenatorBaldwin,SenTedCruz
SenTedCruz,SenatorBaldwin
SteveDaines,SenatorBaldwin
SenatorBaldwin,SenatorDurbin
SenatorDurbin,SenatorBaldwin
SenJoniErnst,SenatorBaldwin
SenatorBaldwin,SenFeinstein
SenFeinstein,SenatorBaldwin
SenatorBaldwin,SenatorFischer
SenatorFischer,SenatorBaldwin
SenatorBaldwin,SenGillibrand
SenGillibrand,SenatorBaldwin
ChuckGrassley,SenatorBaldwin
SenatorBaldwin,MartinHeinrich
MartinHeinrich,SenatorBaldwin
SenatorBaldwin,SenatorHick
SenatorHick,SenatorBaldwin
SenatorBaldwin,maziehirono
maziehirono,SenatorBaldwin
SenatorBaldwin,SenJohnHoeven
SenJohnHoeven,SenatorBaldwin
InhofePress,SenatorBaldwin
SenatorBaldwin,SenRonJohnson
SenRonJohnson,SenatorBaldwin
SenatorBaldwin,timkaine
timkaine,SenatorBaldwin
SenMarkKelly,SenatorBaldwin
SenatorBaldwin,SenAngusKing
SenAngusKing,SenatorBaldwin
SenatorBaldwin,amyklobuchar
amyklobuchar,SenatorBaldwin
SenatorBaldwin,SenatorLankford
SenatorLankford,SenatorBaldwin
SenatorBaldwin,SenatorLeahy
SenatorLeahy,SenatorBaldwin
SenMikeLee,SenatorBaldwin
SenatorBaldwin,SenatorLujan
SenatorLujan,SenatorBaldwin
SenatorBaldwin,Sen_JoeManchin
Sen_JoeManchin,SenatorBaldwin
SenatorBaldwin,SenMarkey
SenMarkey,SenatorBaldwin
SenatorBaldwin,RogerMarshallMD
McConnellPress,SenatorBaldwin
SenatorBaldwin,SenatorMenendez
SenatorMenendez,SenatorBaldwin
SenatorBaldwin,SenJeffMerkley
SenJeffMerkley,SenatorBaldwin
SenatorBaldwin,JerryMoran
JerryMoran,SenatorBaldwin
SenatorBaldwin,lisamurkowski
lisamurkowski,SenatorBaldwin
ChrisMurphyCT,SenatorBaldwin
SenatorBaldwin,PattyMurray
PattyMurray,SenatorBaldwin
RandPaul,SenatorBaldwin
SenatorBaldwin,SenGaryPeters
SenGaryPeters,SenatorBaldwin
senrobportman,SenatorBaldwin
SenJackReed,SenatorBaldwin
SenatorRisch,SenatorBaldwin
SenatorBaldwin,SenatorRomney
SenatorBaldwin,SenJackyRosen
SenJackyRosen,SenatorBaldwin
SenatorBaldwin,SenatorRounds
SenatorRounds,SenatorBaldwin
marcorubio,SenatorBaldwin
SenatorBaldwin,SenSanders
SenSanders,SenatorBaldwin
SenatorBaldwin,SenBrianSchatz
SenBrianSchatz,SenatorBaldwin
SenatorBaldwin,SenSchumer
SenSchumer,SenatorBaldwin
SenatorBaldwin,SenatorTimScott
SenatorTimScott,SenatorBaldwin
SenatorBaldwin,SenatorShaheen
