RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31
62182,6529,11694,Zip,NY,NY,New York,New York-Newark-Jersey City,Queens County,593456.0,597212.0,600617.0,602519.0,604116.0,605181.0,606490.0,606798.0,605268.0,604727.0,603487.0,601705.0
62108,6570,11422,Zip,NY,NY,New York,New York-Newark-Jersey City,Queens County,527945.0,532609.0,536128.0,536838.0,537520.0,538348.0,537974.0,537852.0,535043.0,533834.0,532308.0,530731.0
62042,6606,11232,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,600933.0,604132.0,604068.0,603980.0,607104.0,608145.0,608011.0,607786.0,610363.0,612927.0,611520.0,610524.0
62103,6841,11417,Zip,NY,NY,New York,New York-Newark-Jersey City,Queens County,582373.0,586715.0,588942.0,589496.0,591133.0,591213.0,589459.0,588462.0,587644.0,590159.0,590605.0,590312.0
62113,6886,11427,Zip,NY,NY,New York,New York-Newark-Jersey City,Queens County,607735.0,609935.0,611863.0,612585.0,613504.0,612574.0,611846.0,611460.0,610839.0,612277.0,611526.0,612061.0
62180,7098,11692,Zip,NY,NY,New York,New York-Newark-Jersey City,Queens County,239381.0,238438.0,237063.0,237235.0,236807.0,236746.0,240108.0,241420.0,241317.0,239529.0,238403.0,236168.0
62082,7324,11370,Zip,NY,NY,New York,New York-Newark-Jersey City,Queens County,696968.0,697701.0,698391.0,697410.0,696962.0,696214.0,697072.0,697653.0,697910.0,697574.0,697398.0,696113.0
61632,7494,10018,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,1182169.0,1162991.0,1154372.0,1144964.0,1136949.0,1130915.0,1133731.0,1132726.0,1130080.0,1125943.0,1125596.0,1129325.0
62068,7633,11356,Zip,NY,NY,New York,New York-Newark-Jersey City,Queens County,753401.0,753409.0,752663.0,749441.0,745123.0,740933.0,738522.0,735801.0,731703.0,727680.0,721707.0,717274.0
61619,7711,10005,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,1222754.0,1212762.0,1208157.0,1201825.0,1196866.0,1191697.0,1185102.0,1177466.0,1166266.0,1156435.0,1148449.0,1141480.0
62115,7895,11429,Zip,NY,NY,New York,New York-Newark-Jersey City,Queens County,534030.0,535218.0,538572.0,541473.0,543998.0,544627.0,543262.0,542836.0,542890.0,545078.0,546759.0,546433.0
62074,8062,11362,Zip,NY,NY,New York,New York-Newark-Jersey City,Queens County,588234.0,588062.0,588375.0,586772.0,586554.0,585287.0,584829.0,583864.0,579628.0,576763.0,573423.0,573566.0
62097,8120,11411,Zip,NY,NY,New York,New York-Newark-Jersey City,Queens County,527187.0,527875.0,528436.0,527216.0,525044.0,522517.0,520295.0,520045.0,520596.0,522374.0,524370.0,524603.0
